Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,console
2002 FIFA World Cup,4/22/2002,EA Sports,EA Sports,Soccer Sim,Rated E For Everyone,5.4,10,PlayStation 2
2010 FIFA World Cup South Africa,4/27/2010,Electronic Arts,EA Sports,Soccer Sim,Rated E For Everyone,8.4,40,Xbox 360
2014 FIFA World Cup Brazil,4/15/2014,EA Canada,EA Sports,Soccer Sim,Rated E For Everyone,4.9,106,Xbox 360
2064: Read Only Memories,1/17/2017,MidBoss,MidBoss,Point-and-Click,Rated M For Mature,3.4,555,PC
2064: Read Only Memories INTEGRAL,7/26/2018,MidBoss,MidBoss,Point-and-Click,Rated M For Mature,6.5,15,Nintendo Switch
20XX,2018-10-07,Batterystaple Games,Batterystaple Games,2D Platformer,Rated E +10 For Everyone +10,7,19,PlayStation 4
24: The Game,2/28/2006,SCE Studio Cambridge,2K Games,Action Adventure,Rated M For Mature,7.6,27,PlayStation 2
25 to Life,1/17/2006,Avalanche Software,Eidos Interactive,Third Person Shooter,Rated M For Mature,5.1,22,PlayStation 2
2-bit Cowboy,2014-08-05,,,2D Platformer,,,,iOS (iPhone)
2Dark,2017-10-03,Gloomywood,Gloomywood,Action Adventure,Rated M For Mature,7.4,30,PC
2K DRIVE,2013-05-09,2K Sports,2K Sports,Auto Racing Sim,,,,iOS (iPhone)
3 on 3 NHL Arcade,2009-11-02,EA Canada,Electronic Arts,Hockey,Rated E For Everyone,6.8,20,PlayStation 3
300: March to Glory,2/27/2007,Collision Studios,Warner Bros. Interactive Entertainment,3D Beat-'Em-Up,Rated M For Mature,6.1,27,PSP
3000th Duel,2/19/2020,NEOPOPCORN Corp,NEOPOPCORN Corp,2D Platformer,Rated E +10 For Everyone +10,8.4,64,Nintendo Switch
30XX,2023-09-08,Batterystaple Games,Batterystaple Games,2D Platformer,,7.1,7,Nintendo Switch
39 Days to Mars,4/25/2018,It's Anecdotal,It's Anecdotal,Action Puzzle,,5,10,PC
3D After Burner II,1/15/2015,M2,Sega,Aircraft Combat Sim,Rated E +10 For Everyone +10,7.8,22,3DS
3D Dot Game Heroes,2010-11-05,Silicon Studio,Atlus,Action RPG,Rated E +10 For Everyone +10,7.5,82,PlayStation 3
3D Ultra MiniGolf Adventures,4/18/2007,Wanako Studios,Sierra Online,Golf,Rated E For Everyone,5.9,13,PC
428: Shibuya Scramble,2018-04-09,Spike Chunsoft,Spike Chunsoft,Visual Novel,Rated T For Teen,8,39,PC
4PM,2014-09-07,Bojan Brbora,4PM GAME,First-Person Adventure,,4.1,27,PC
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,,"Xbox
"
4x4 Evolution,10/29/2000,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,6.8,18,PlayStation 2
50 Cent: Blood on the Sand,2/24/2009,Swordfish Studios,THQ,Third Person Shooter,Rated M For Mature,6.1,55,PlayStation 3
50 Cent: Bulletproof,8/29/2006,High Voltage Software,Vivendi Games,Action Adventure,Rated M For Mature,4.3,8,PlayStation 2
60 Parsecs!,9/18/2018,Robot Gentleman,Robot Gentleman,Adventure,,7.1,27,PC
6th Planet,2/24/2011,Monkube,Monkube,Adventure,,,,iOS (iPhone)
7 Days to Die,6/28/2016,Iron Galaxy Studios,Telltale Games,Survival,Rated M For Mature,5.6,157,PlayStation 4
7 Wonders of the Ancient World,4/23/2007,Hot Lava Games,MumboJumbo,Matching Puzzle,Rated E For Everyone,6,,iOS (iPhone)
7th Dragon III Code: VFD,2016-12-07,Sega,Sega,JRPG,Rated T For Teen,7.9,60,3DS
80 Days,7/31/2014,,,Visual Novel,,7.1,54,Nintendo Switch
80 Days (2005),2005-12-12,Frogwares,Matrix Games,Third-Person Adventure,Rated T For Teen,7.8,15,PC
88 Heroes,3/24/2017,Bitmap Bureau,Rising Star Games,2D Platformer,Rated E +10 For Everyone +10,5.8,5,PC
88 Heroes: 98 Heroes Edition,2017-10-10,Bitmap Bureau,Rising Star Games,2D Platformer,Rated E +10 For Everyone +10,6.4,8,Nintendo Switch
8-Bit Adventure Anthology: Volume 1,10/31/2017,Abstraction Games,Abstraction Games,Compilation,Rated E +10 For Everyone +10,,,PlayStation 4
8-Bit Armies,4/22/2016,Petroglyph,Petroglyph,Command RTS,Rated E +10 For Everyone +10,7.2,22,PC
8-Bit Hordes,2019-01-02,Petroglyph,Petroglyph,Command RTS,Rated E +10 For Everyone +10,3,7,PC
8bit Ninja,2012-03-04,Dogbyte Games,Dogbyte Games,RPG,,,,iOS (iPhone)
9 Monkeys of Shaolin,10/16/2020,Sobaka,Buka Entertainment,3D Beat-'Em-Up,Rated T For Teen,6.8,22,Xbox One
9 Years of Shadows,3/27/2023,Halberd Studios,Freedom Games,Metroidvania,,7.6,36,PC
911 Operator,2/24/2017,Jutsu Games,PlayWay,Strategy,,6.7,71,PC
99Bullets,5/23/2011,EnjoyUp Games,EnjoyUp Games,Vertical Shoot-'Em-Up,Rated E For Everyone,,,DS
99Vidas,7/18/2017,QUByte Interactive,QUByte Interactive,2D Beat-'Em-Up,Rated T For Teen,6.4,43,PC
9mm,7/14/2011,Gameloft,Gameloft,Third Person Shooter,,6,6,iOS (iPhone)
A Bastard's Tale,2016-04-10,No Pest Productions,No Pest Productions,2D Beat-'Em-Up,Rated T For Teen,5.5,6,PC
A Bird Story,2014-07-11,Freebird Games,Freebird Games,Adventure,,7,167,PC
A Boy and His Blob,10/13/2009,WayForward,Majesco,2D Platformer,Rated E For Everyone,7.8,35,Wii
A Case of Distrust,2018-08-02,The Wandering Ben,Serenity Forge,Adventure,,5.8,13,PC
A City Sleeps,10/16/2014,Harmonix Music Systems,Harmonix Music Systems,Horizontal Shoot-'Em-Up,,6.2,6,PC
A Fisherman's Tale,1/22/2019,Innerspace VR,Vertigo Games,Adventure,,6,15,PlayStation 4
A Fistful of Gun,9/24/2015,FarmerGnome,Devolver Digital,Top-Down Shoot-'Em-Up,,7.1,16,PC
A Fold Apart,4/16/2020,Lightning Rod Games,Lightning Rod Games,Adventure,Rated E For Everyone,6.3,7,PC
A Game of Dwarves,10/23/2012,Zeal Game Studios,Paradox Interactive,Strategy,,6.4,66,PC
A Game of Thrones: Genesis,9/28/2011,Cyanide,Focus Home Interactive,Real-Time Strategy,,4.1,117,PC
A Golden Wake,2014-09-10,Grundislav Games,Wadjet Eye Games,Point-and-Click,,6,20,PC
A Good Snowman Is Hard To Build,2015-09-12,Draknek,Draknek,Action Puzzle,,6.6,14,PC
A Gummy's Life,9/25/2018,EP Games,EP Games,Party,Rated E +10 For Everyone +10,8,5,Nintendo Switch
A Hat in Time,2017-05-10,Gears for Breakfast,Gears for Breakfast,3D Platformer,Rated E +10 For Everyone +10,8.7,556,PC
A Highland Song,2023-05-12,inkle,inkle,Adventure,Rated E For Everyone,,,Nintendo Switch
