Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,console
Disney Tsum Tsum Festival,2019-08-11,B.B.Studio,Bandai Namco Games,Party,Rated E For Everyone,4.7,12,Nintendo Switch
Disney Universe,10/25/2011,Eurocom,Disney Interactive Studios,Action Adventure,Rated E +10 For Everyone +10,5.9,19,Xbox 360
Disney Wizards of Waverly Place,8/25/2009,Black Lantern Studios,Disney Interactive Studios,Action Adventure,Rated E For Everyone,5.5,,DS
Disney Wreck-It Ralph,2012-01-11,Disney Interactive Studios,Disney Interactive Studios,2D Platformer,,,,Wii
Disney*Pixar WALL-E,6/24/2008,Heavy Iron Studios,THQ,3D Platformer,Rated E For Everyone,6.9,16,PlayStation 2
Disney*Pixar WALL-E (2008),6/24/2008,Helixe,THQ,Party,Rated E For Everyone,6.5,,DS
Disney/Pixar Brave,6/19/2012,Disney Interactive Studios,Disney Interactive Studios,Linear Action Adventure,Rated E +10 For Everyone +10,6.1,8,PlayStation 3
Disney/Pixar Buzz Lightyear of Star Command,9/26/2000,Traveller's Tales,Activision,Action,Rated E For Everyone,8.3,7,Dreamcast
Disney/Pixar Cars,2006-06-06,Rainbow Studios,THQ,Auto Racing,Rated E For Everyone,8.5,53,PlayStation 2
Disney/Pixar Cars 2,6/21/2011,Avalanche Software,Disney Interactive Studios,Auto Racing,Rated E +10 For Everyone +10,7.6,38,Xbox 360
Disney/Pixar Cars 3: Driven to Win,6/13/2017,Avalanche Software,Warner Bros. Interactive Entertainment,Auto Racing,Rated E +10 For Everyone +10,6.9,48,Nintendo Switch
Disney/Pixar Cars Mater-National Championship,10/29/2007,Rainbow Studios,THQ,Auto Racing,Rated E For Everyone,7.7,7,Wii
Disney/Pixar Cars Race-O-Rama,2009-12-10,Incinerator Games,THQ,Auto Racing,Rated E For Everyone,9.1,9,PlayStation 2
Disney/Pixar Finding Nemo,2003-12-05,Traveller's Tales,THQ,Action Adventure,Rated E For Everyone,4.6,11,PlayStation 2
"Disney/Pixar Monsters, Inc. (2002)",3/19/2002,Artificial Mind and Movement,SCEA,3D Platformer,Rated E For Everyone,7.8,8,PlayStation 2
"Disney/Pixar Monsters, Inc. Scream Arena",9/14/2002,Radical Entertainment,THQ,3D Platformer,Rated E For Everyone,6.3,15,GameCube
Disney/Pixar Ratatouille,6/26/2007,Asobo Studio,THQ,3D Platformer,Rated E For Everyone,7.5,13,PlayStation 3
Disney/Pixar The Incredibles,10/31/2004,Heavy Iron Studios,THQ,Action Adventure,Rated T For Teen,7.5,37,PC
Disney/Pixar The Incredibles: Rise of the Underminer,2005-01-11,Heavy Iron Studios,THQ,3D Platformer,Rated E +10 For Everyone +10,,,PC
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,6/30/2000,Traveller's Tales,Activision,3D Platformer,Rated E For Everyone,7,11,Nintendo 64
Disney/Pixar Toy Story 3,6/15/2010,Avalanche Software,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,8.1,62,PC
Disney/Pixar Toy Story Mania!,9/15/2009,Papaya Studio,Disney Interactive Studios,Party,Rated E For Everyone,4,7,PlayStation 3
Disney/Pixar Toy Story Racer,2001-05-03,Traveller's Tales,Activision,Auto Racing,Rated E For Everyone,8,22,PlayStation
Disney/Pixar Up,5/26/2009,Heavy Iron Studios,THQ,Linear Action Adventure,Rated E +10 For Everyone +10,7,5,Wii
Disney's A Christmas Carol,2009-03-11,Sumo Digital,Disney Interactive Studios,Adventure,Rated E For Everyone,6.4,5,DS
Disney's Aladdin (1993),9/28/2004,Disney Interactive Studios,Capcom,2D Platformer,Rated E For Everyone,7.9,7,Game Boy Advance
Disney's Aladdin in Nasira's Revenge,3/15/2001,Argonaut Games,SCEA,3D Platformer,Rated E For Everyone,6.9,20,PlayStation
Disney's Atlantis: The Lost Empire - Trial By Fire,5/17/2001,Zombie Studios,Disney Interactive,Action Adventure,Rated E For Everyone,3.7,6,PC
Disney's Atlantis: The Lost Empire (2001),6/14/2001,Eurocom,SCEA,Action Adventure,Rated E For Everyone,7.8,20,PlayStation
Disney's Chicken Little,10/18/2005,Avalanche Software,Buena Vista Games,3D Platformer,Rated E +10 For Everyone +10,8.2,14,PlayStation 2
Disney's Chicken Little: Ace in Action,2006-09-11,DC Studios,Buena Vista Games,Third Person Shooter,Rated E For Everyone,,,PlayStation 2
Disney's Cinderella: Magical Dreams,9/20/2005,Culture Brain,Buena Vista Interactive,2D Platformer,Rated E For Everyone,,,Game Boy Advance
Disney's Donald Duck: Goin' Quackers,12/13/2000,Disney Interactive Studios,Ubisoft,3D Platformer,Rated E For Everyone,7.2,20,Nintendo 64
Disney's Extreme Skate Adventure,2003-02-09,Toys for Bob,Activision,Skating,Rated E For Everyone,7,,PlayStation 2
Disney's Herbie: Fully Loaded,2005-12-07,Climax Studios,Buena Vista Interactive,Auto Racing,Rated E For Everyone,,,Game Boy Advance
Disney's Hide & Sneak,11/30/2003,Capcom,Capcom,Linear Action Adventure,Rated E For Everyone,,,GameCube
Disney's Kim Possible 2: Drakken's Demise,9/15/2004,Artificial Mind and Movement,Disney Interactive,2D Platformer,Rated E For Everyone,7,7,Game Boy Advance
Disney's Kim Possible: Kimmunicator,2005-09-11,Artificial Mind and Movement,Buena Vista Games,3D Platformer,Rated E For Everyone,7.3,,DS
Disney's Lilo & Stitch,6/14/2002,Blitz Games,SCEA,3D Platformer,Rated E For Everyone,6.6,14,PlayStation
Disney's Lilo & Stitch (2002),2002-07-06,Digital Eclipse,Disney Interactive,2D Platformer,Rated E For Everyone,6,7,Game Boy Advance
Disney's Magical Mirror Starring Mickey Mouse,8/13/2002,Capcom,Nintendo,Point-and-Click,Rated E For Everyone,7.3,12,GameCube
Disney's Magical Quest 3 Starring Mickey & Donald,6/14/2005,Klein Computer Entertainment,Capcom,2D Platformer,Rated E For Everyone,,,Game Boy Advance
Disney's Meet the Robinsons,3/27/2007,Buena Vista Games,Buena Vista Games,Action Adventure,Rated E +10 For Everyone +10,7,6,Wii
Disney's PK: Out of the Shadows,2002-01-11,Ubisoft,Ubisoft,3D Platformer,Rated E For Everyone,6.8,5,PlayStation 2
Disney's Stitch: Experiment 626,6/19/2002,High Voltage Software,SCEA,Action Adventure,Rated E For Everyone,6.9,8,PlayStation 2
Disney's Tarzan Untamed,11/17/2001,Ubisoft Montreal,Ubisoft,Action Adventure,Rated E For Everyone,7.4,5,GameCube
Disney's Tarzan: Return to the Jungle,9/14/2002,Digital Eclipse,Activision,2D Platformer,Rated E For Everyone,,,Game Boy Advance
Disney's The Emperor's New Groove,11/13/2000,Argonaut Games,SCEA,3D Platformer,Rated E For Everyone,7.6,8,PlayStation
Disney's The Haunted Mansion,10/14/2003,High Voltage Software,TDK Mediactive,Action Adventure,Rated T For Teen,4.3,,Xbox
Disney's Toontown Online,2005-06-10,Disney Interactive Studios,Sony Platform Publishing,MMORPG,Rated E For Everyone,6.9,36,PC
Disney's Treasure Planet: Battle at Procyon,10/31/2002,Barking Dog,Disney Interactive,Real-Time Strategy,Rated E For Everyone,8.1,19,PC
Disney's TRON: Evolution,2010-07-12,Propaganda Games,Disney Interactive Studios,Action Adventure,Rated T For Teen,5.9,51,PC
Disney's TRON: Evolution - Battle Grids,2010-07-12,n-Space,Disney Interactive Studios,Action,Rated E +10 For Everyone +10,8,7,Wii
Dissidia 012: Duodecim Final Fantasy,3/21/2011,Square Enix,Square Enix,3D Fighting,Rated T For Teen,8.3,300,PSP
Dissidia: Final Fantasy,8/25/2009,Square Enix,Square Enix,3D Fighting,Rated T For Teen,8.2,278,PSP
Dissidia: Final Fantasy NT,1/30/2018,Team Ninja,Square Enix,3D Fighting,Rated T For Teen,7.2,396,PlayStation 4
Distant Worlds 2,2022-10-03,Code Force,Slitherine,Strategy,,7.1,14,PC
DISTRAINT,10/21/2015,Jesse Makkonen,Jesse Makkonen,Adventure,,7.5,93,PC
Dive: The Medes Islands Secret,7/26/2010,Over the Top Games,Cosmonaut Games,Adventure,Rated E For Everyone,,,Wii
Divekick,8/20/2013,Iron Galaxy Studios,Iron Galaxy Studios,2D Fighting,Rated T For Teen,6.9,49,PC
Divide,1/31/2017,Exploding Tuba Studios,Exploding Tuba Studios,Linear Action Adventure,Rated T For Teen,,,PlayStation 4
Divide By Sheep,2015-02-07,"Victor Solodilov, Denis Novikov",tinyBuild,Logic Puzzle,,6.4,5,PC
Divine Divinity,9/22/2002,Larian Studios Games,cdv Software,Action RPG,Rated T For Teen,8.4,219,PC
Divinity II: Ego Draconis,2010-05-01,Larian Studios Games,DTP Entertainment,Action RPG,Rated M For Mature,7.7,108,PC
Divinity II: The Dragon Knight Saga,2011-12-04,Larian Studios Games,Atlus,Compilation,Rated M For Mature,7.9,61,Xbox 360
Divinity: Dragon Commander,2013-06-08,Larian Studios Games,Larian Studios Games,Action RPG,,7.1,266,PC
Divinity: Original Sin,6/30/2014,Larian Studios Games,Larian Studios Games,Western RPG,Rated M For Mature,8.6,2313,PC
Divinity: Original Sin Enhanced Edition,10/27/2015,Larian Studios Games,Focus Home Interactive,Western RPG,Rated M For Mature,8,634,Xbox One
Divinity: Original Sin II,9/14/2017,Larian Studios Games,Larian Studios Games,Western RPG,,8.8,2671,PC
Divinity: Original Sin II - Definitive Edition,8/31/2018,Larian Studios Games,Larian Studios Games,Western RPG,Rated M For Mature,8.1,614,Xbox One
DJ Hero,10/27/2009,FreeStyleGames,Activision,Rhythm,Rated T For Teen,7.1,24,PlayStation 3
DJ Hero 2,10/19/2010,FreeStyleGames,Activision,Rhythm,Rated T For Teen,8.4,24,PlayStation 3
DJ Star,2009-10-11,Game Life,Deep Silver,Rhythm,Rated T For Teen,,,DS
DJMax Respect,2018-06-03,Rocky Studio,Neowiz,Rhythm,Rated T For Teen,8.2,53,PlayStation 4
DK: Jungle Climber,2007-10-09,Paon Corporation,Nintendo,Action,Rated E For Everyone,6.6,16,DS
DK: King of Swing,9/19/2005,Paon Corporation,Nintendo,2D Platformer,Rated E For Everyone,7,5,Game Boy Advance
DmC: Devil May Cry,1/15/2013,Ninja Theory,Capcom,Linear Action Adventure,Rated M For Mature,5.5,1576,Xbox 360
DmC: Devil May Cry - Vergil's Downfall,2013-05-03,Ninja Theory,Capcom,Linear Action Adventure,Rated M For Mature,6.2,75,PC
DmC: Devil May Cry Definitive Edition,2015-10-03,QLOC,Capcom,Linear Action Adventure,Rated M For Mature,7.5,763,PlayStation 4
DNF Duel: Who's Next,6/28/2022,Eighting,Nexon,2D Fighting,Rated T For Teen,5.3,20,PlayStation 4
Do Not Fall,7/23/2013,Xpec,Xpec,3D Platformer,Rated E For Everyone,,,PlayStation 3
Do Not Feed the Monkeys,2020-01-06,Alawar Premium,Alawar Premium,Simulation,Rated E For Everyone,9,5,PC
DOA2: Hardcore,10/25/2000,Team Ninja,Tecmo,3D Fighting,Rated T For Teen,8.1,33,PlayStation 2
Doc Clock: The Toasted Sandwich of Time,10/15/2010,Stickmen Studios,Stickmen Studios,Puzzle,Rated E For Everyone,6.2,17,PC
Doctor Lautrec and the Forgotten Knights,12/13/2011,WinkySoft,Konami,Puzzle,Rated E +10 For Everyone +10,5.4,9,3DS
Doctor Who: Legacy,11/26/2013,Seed Studio Inc.,Tiny Rebel Games,Matching Puzzle,,,,iOS (iPhone)
Doctor Who: The Edge Of Time,2019-12-11,Maze Theory,Playstack,First-Person Adventure,Rated E For Everyone,6.8,11,PC
Doctor Who: The Eternity Clock,5/22/2012,Supermassive Games,BBC Worldwide,Action Adventure,Rated E +10 For Everyone +10,6.7,29,PlayStation Vita
Dodgeball Academia,2021-05-08,Pocket Trap,Humble Games,Individual Sports,,8.2,52,PC
DodoGo!,4/26/2010,Alien After All,Neko Entertainment,2D Platformer,Rated E For Everyone,,,DS
DodoGo! Robo,4/18/2011,Alien After All,Neko Entertainment,2D Platformer,Rated E For Everyone,,,DS
DoDonPachi Dai-Ou-Jou,2012-09-02,Cave,Cave,Vertical Shoot-'Em-Up,,,,iOS (iPhone)
DoDonPachi Resurrection,8/26/2010,Cave,Cave,Vertical Shoot-'Em-Up,,8.2,6,Xbox 360
Does not Commute,4/23/2015,Mediocre AB,Mediocre AB,Action,,6.9,12,iOS (iPhone)
DOFUS,2005-01-09,Ankama Games,Ankama Games,MMORPG,,7,57,PC
Dofus : Battles,5/13/2011,Ankama Games,Ankama Games,RPG,,,,iOS (iPhone)
Dogfight 1942,2012-05-09,City Interactive,City Interactive,Aircraft Combat Sim,Rated T For Teen,5.6,22,Xbox 360
Dogos,2016-07-09,INTERNET URL S.A.,INTERNET URL S.A.,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,,,PC
Dogs of War: Battle On Primus IV,7/30/2000,Silicon Dreams,TalonSoft,Real-Time Tactics,Rated M For Mature,,,PC
Dogz,11/17/2005,MTO,Ubisoft,Virtual Pet,Rated E For Everyone,,,Game Boy Advance
Dokapon Journey,4/14/2009,Suzak,Atlus,RPG,Rated E +10 For Everyone +10,7.3,,DS
Dokapon Kingdom,10/14/2008,Sting,Atlus,RPG,Rated E +10 For Everyone +10,8.1,17,Wii
Dokapon Kingdom: Connect,2023-09-05,Sting,Idea Factory,Party,Rated E +10 For Everyone +10,4,8,Nintendo Switch
Doki Doki Literature Club Plus!,6/30/2021,Team Salvato,Serenity Forge,Visual Novel,Rated M For Mature,8.2,107,PC
Doki Doki Literature Club!,2017-06-10,Team Salvato,Team Salvato,Visual Novel,,8.5,844,PC
Doki-Doki Universe,2013-10-12,Humanature Studios,SCEA,Miscellaneous,Rated E +10 For Everyone +10,6.3,103,PlayStation 4
Dokuro,10/16/2012,Game Arts,GungHo,2D Platformer,Rated E +10 For Everyone +10,7.9,19,PlayStation Vita
Dollar Dash,2013-06-03,Candygun Games,Kalypso,Party,Rated E +10 For Everyone +10,4.5,15,PlayStation 3
Dollhouse,5/24/2019,Soedesco,Soedesco,First-Person Adventure,Rated M For Mature,4.4,15,PC
DOLMEN,5/20/2022,Massive Work Studio,Prime Matter,Action RPG,Rated T For Teen,6.6,27,PlayStation 4
Dome Keeper,9/27/2022,Bippinbits,Raw Fury,Defense,,8.3,30,PC
Domination (2005),2005-03-03,Wargaming.net,DreamCatcher Interactive,Turn-Based Strategy,Rated T For Teen,3.8,,PC
Dominions 3: The Awakening,9/29/2006,Illwinter Design Group,Shrapnel Games,Turn-Based Strategy,,6.9,28,PC
Dominions II: The Ascension Wars,11/14/2003,Illwinter Design Group,Shrapnel Games,Turn-Based Strategy,,4.4,5,PC
Domino Master,9/17/2008,TikGames,Microsoft Game Studios,Board,Rated E For Everyone,,,Xbox 360
Don King Boxing,3/31/2009,2K Shanghai,2K Sports,Combat Sport,Rated T For Teen,,,DS
Don King Presents: Prizefighter,2008-10-06,Venom Games,2K Sports,Combat Sport,Rated T For Teen,3.9,7,Xbox 360
Donkey Kong,2004-02-06,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,7.3,6,Nintendo Switch
Donkey Kong 64,11/24/1999,Rare Ltd.,Nintendo,3D Platformer,Rated E For Everyone,8.6,323,Nintendo 64
Donkey Kong Country,2003-09-06,Rare Ltd.,Nintendo,2D Platformer,Rated E For Everyone,8.5,88,Game Boy Advance
Donkey Kong Country 2: Diddy's Kong Quest,11/15/2004,Rare Ltd.,Nintendo,2D Platformer,Rated E For Everyone,8.6,73,Game Boy Advance
Donkey Kong Country 3: Dixie Kong's Double Trouble!,2005-07-11,Rare Ltd.,Nintendo,2D Platformer,Rated E For Everyone,8.2,40,Game Boy Advance
Donkey Kong Country Returns,11/21/2010,Retro Studios,Nintendo,2D Platformer,Rated E For Everyone,8.6,562,Wii
Donkey Kong Country: Tropical Freeze,2/21/2014,Retro Studios,Nintendo,2D Platformer,Rated E For Everyone,9,959,Wii U
Donkey Kong Jungle Beat,3/14/2005,Nintendo EAD Tokyo,Nintendo,2D Platformer,Rated E +10 For Everyone +10,8.2,39,GameCube
Donkey Kong: Barrel Blast,2007-08-10,Paon Corporation,Nintendo,Arcade Racing,Rated E For Everyone,6.5,36,Wii
Donkey Konga,9/27/2004,Namco,Nintendo,Rhythm,Rated E For Everyone,7.6,25,GameCube
Donkey Konga 2,2005-09-05,Namco,Nintendo,Rhythm,Rated T For Teen,8.3,7,GameCube
Don't Forget Me,4/20/2021,The Moon Pirates,The Moon Pirates,Point-and-Click,,,,PC
Don't Knock Twice,2017-05-09,Wales Interactive,Wales Interactive,First-Person Adventure,Rated M For Mature,5.9,11,PC
Don't Starve,2014-07-01,Klei Entertainment,Klei Entertainment,Sandbox,Rated T For Teen,7.1,415,PC
Don't Starve: Giant Edition,5/28/2015,Klei Entertainment,Klei Entertainment,Sandbox,Rated T For Teen,7.6,21,PlayStation Vita
Donut County,8/28/2018,Ben Esposito,Annapurna Interactive,Action Adventure,Rated E For Everyone,7.1,76,PC
Doodle God,2010-11-06,JoyBits,JoyBits,Board,,6.4,15,iOS (iPhone)
DOOM,2017-10-11,Panic Button,Bethesda Softworks,FPS,Rated M For Mature,8.5,721,PC
DOOM (1993),9/27/2006,Nerve Software,Activision,FPS,Rated M For Mature,8.6,189,Game Boy Advance
DOOM 3,2004-03-08,id Software,Activision,FPS,Rated M For Mature,7.9,1093,PC
DOOM 3 BFG Edition,10/16/2012,id Software,Bethesda Softworks,FPS,Rated M For Mature,7.2,202,Nintendo Switch
DOOM 3: Resurrection of Evil,2005-04-04,Nerve Software,Activision,FPS,Rated M For Mature,7.8,172,PC
DOOM 3: VR Edition,3/29/2021,Archiact Interactive Ltd.,Bethesda Softworks,FPS,Rated M For Mature,7.4,24,PlayStation 4
DOOM 64,3/20/2020,Night Dive Studios,Bethesda Softworks,FPS,Rated M For Mature,8.3,80,Nintendo Switch
DOOM Eternal,3/20/2020,id Software,Bethesda Softworks,FPS,Rated M For Mature,8.8,5846,PlayStation 4
DOOM Eternal: The Ancient Gods Part One,10/20/2020,id Software,Bethesda Softworks,FPS,Rated M For Mature,7.3,86,PC
DOOM Eternal: The Ancient Gods Part Two,3/18/2021,id Software,Bethesda Softworks,FPS,Rated M For Mature,6.7,81,Xbox One
DOOM II,5/26/2010,id Software,Bethesda Softworks,FPS,Rated M For Mature,8.4,117,PC
DOOM VFR,2017-01-12,id Software,Bethesda Softworks,Light Gun,Rated M For Mature,7.4,137,PC
DOOM: Resurrection,6/26/2009,Escalation Studios,id Software,FPS,,8.3,15,iOS (iPhone)
DOOMBLADE,5/31/2023,Muro Studios Ltd.,Iceberg Interactive,Metroidvania,,8,6,PC
Doomsday Vault,2021-05-08,Flightless,Flightless,Third-Person Adventure,,,,iOS (iPhone)
Door Kickers,10/20/2014,KillHouse Games,KillHouse Games,Real-Time Tactics,,7.8,122,PC
Doraemon: Story of Seasons,2019-11-10,Brownies,Bandai Namco Games,Tycoon,Rated E For Everyone,7.5,44,Nintendo Switch
Doraemon: Story of Seasons - Friends of the Great Kingdom,2022-02-11,Bandai Namco Games,Bandai Namco Games,Virtual Life,Rated E For Everyone,6.7,6,Nintendo Switch
Dordogne,6/13/2023,Un Je Ne Sais Quoi,Focus Entertainment,Adventure,,7.3,27,Nintendo Switch
Dorfromantik,9/29/2022,Toukana Interactive,Toukana Interactive,Turn-Based Strategy,Rated E For Everyone,7.8,21,PC
Dota 2,2013-09-07,Valve Software,Valve Software,MOBA,,6.5,12029,PC
Double Cross,2019-10-01,13AM Games,Graffiti Games,2D Platformer,Rated E +10 For Everyone +10,7,8,Nintendo Switch
Double D Dodgeball,7/16/2008,Yuke's,Yuke's,Team Sports,Rated E For Everyone,,,Xbox 360
Double Dragon,2011-04-03,Brizo Interactive Corporation,Bow Mobile,2D Beat-'Em-Up,,,,Nintendo Switch
Double Dragon & Kunio-kun Retro Brawler Bundle,2/20/2020,Arc System Works,Arc System Works,Compilation,Rated E +10 For Everyone +10,8,11,Nintendo Switch
Double Dragon Advance,2003-12-11,Million,Atlus,2D Beat-'Em-Up,Rated T For Teen,7.6,8,Game Boy Advance
Double Dragon II: Wander of the Dragons,2013-05-04,Gravity,CFK,2D Beat-'Em-Up,Rated T For Teen,1.6,60,Xbox 360
Double Dragon IV,1/30/2017,Arc System Works,Arc System Works,2D Beat-'Em-Up,Rated E +10 For Everyone +10,6.6,29,iOS (iPhone)
Double Dragon: Neon,2012-12-09,WayForward,Majesco,2D Beat-'Em-Up,Rated T For Teen,7.5,53,Xbox 360
Double Fine Happy Action Theater,2012-01-02,Double Fine Productions,Microsoft Game Studios,Miscellaneous,Rated E For Everyone,6.4,16,Xbox 360
Double Kick Heroes,8/13/2020,Headbang Club,Headbang Club,Rhythm,Rated M For Mature,,,PC
Downforce (2002),6/14/2002,Smart Dog,Titus Software,Future Racing,Rated E For Everyone,,,PlayStation 2
Downhill Domination,7/23/2003,Incognito Inc.,SCEA,Biking,Rated T For Teen,8.4,51,PlayStation 2
Downward Spiral: Horus Station,5/31/2018,3rd Eye Studios,3rd Eye Studios,Action Adventure,,,,PlayStation 4
Downwell,10/15/2015,Moppin,Devolver Digital,Action,,6.8,144,PC
Dr Kawashima's Brain Training for Nintendo Switch,12/27/2019,Nintendo,Nintendo,Edutainment,,6.4,40,Nintendo Switch
Dr. Luigi,12/31/2013,Arika,Nintendo,Stacking Puzzle,Rated E For Everyone,7.3,69,Wii U
Dr. Mario,10/25/2004,Nintendo,Nintendo,Matching Puzzle,Rated E For Everyone,8.4,9,Game Boy Advance
Dr. Mario / Puzzle League,11/28/2005,TOSE,Nintendo,Matching Puzzle,Rated E For Everyone,7,,Game Boy Advance
Dr. Mario 64,2001-08-04,Newcom,Nintendo,Matching Puzzle,Rated E For Everyone,6.7,19,Nintendo 64
Dr. Mario Express,4/20/2009,Arika,Nintendo,Matching Puzzle,Rated E For Everyone,6,7,DS
Dr. Mario Online RX,5/26/2008,Arika,Nintendo,Matching Puzzle,Rated E For Everyone,6.8,8,Wii
Dr. Mario World,2019-10-07,LINE Corporation,Nintendo,Action Puzzle,,3.4,49,iOS (iPhone)
Dr. Mario: Miracle Cure,2015-11-06,Nintendo,Nintendo,Stacking Puzzle,Rated E For Everyone,6.9,32,3DS
Dr. Muto,11/19/2002,Midway,Midway,3D Platformer,Rated T For Teen,6.6,5,GameCube
Dr. Seuss' The Cat in the Hat,2003-05-11,Digital Eclipse,VU Games,2D Platformer,Rated E For Everyone,,,Game Boy Advance
Dr. Sudoku,2006-03-05,Success,Mastiff,Logic Puzzle,Rated E For Everyone,,,Game Boy Advance
Dracula 3: The Path of the Dragon,8/21/2008,Kheops Studio,Encore Software,First-Person Adventure,Rated T For Teen,6.9,23,PC
Dracula: Origin,5/23/2008,Frogwares,The Adventure Company,Point-and-Click,Rated T For Teen,7,16,PC
Dracula: The Last Sanctuary,2001-11-02,Canal+ Multimedia,DreamCatcher Interactive,Point-and-Click,Rated M For Mature,6.7,16,PC
Dracula: The Path Of The Dragon Part 1,1/21/2010,Chillingo,Chillingo,First-Person Adventure,,,,iOS (iPhone)
Dracula: The Resurrection,6/14/2000,Canal+ Multimedia,DreamCatcher Interactive,Point-and-Click,Rated M For Mature,6.5,24,PC
Dracula: Undead Awakening,1/28/2010,Chillingo,Chillingo,Top-Down Shoot-'Em-Up,Rated T For Teen,,,PSP
Dragalia Lost,9/27/2018,Cygames,Nintendo,RPG,Rated T For Teen,7.6,42,iOS (iPhone)
Draglade,2007-04-12,Dimps Corporation,Atlus,2D Fighting,Rated E +10 For Everyone +10,,,DS
Dragon Age II,2011-08-03,BioWare,Electronic Arts,Action RPG,Rated M For Mature,4.7,2509,Xbox 360
Dragon Age II: Legacy,7/26/2011,BioWare,Electronic Arts,Action RPG,Rated M For Mature,5.2,71,PC
Dragon Age II: Mark of the Assassin,2011-11-10,BioWare,Electronic Arts,Action RPG,Rated M For Mature,5.5,40,PC
Dragon Age: Inquisition,11/18/2014,BioWare,Electronic Arts,Western RPG,Rated M For Mature,6.1,4940,PC
Dragon Age: Inquisition - Jaws Of Hakkon,3/24/2015,BioWare,Electronic Arts,Western RPG,,6,107,Xbox One
Dragon Age: Inquisition - Trespasser,2015-09-09,BioWare,BioWare,Western RPG,,7.7,143,Xbox One
Dragon Age: Origins,2009-03-11,BioWare,Electronic Arts,Western RPG,Rated M For Mature,8.4,715,PC
Dragon Age: Origins - Awakening,3/16/2010,BioWare,Electronic Arts,Western RPG,Rated M For Mature,8,516,PlayStation 3
Dragon Age: Origins - Leliana's Song,2010-06-07,BioWare,Electronic Arts,Western RPG,,5.6,28,Xbox 360
Dragon Age: Origins - Return to Ostagar,1/13/2010,BioWare,Electronic Arts,Western RPG,Rated M For Mature,7,82,Xbox 360
Dragon Age: Origins - Witch Hunt,2010-07-09,BioWare,Electronic Arts,Western RPG,Rated M For Mature,5.7,40,Xbox 360
Dragon Ball FighterZ,1/26/2018,Arc System Works,Bandai Namco Games,2D Fighting,Rated T For Teen,8,735,Xbox One
Dragon Ball GT: Transformation,2005-09-08,Webfoot Technologies,Atari SA,2D Beat-'Em-Up,Rated E +10 For Everyone +10,6.2,21,Game Boy Advance
Dragon Ball Legends,5/31/2018,Bandai Namco Games,Bandai Namco Games,3D Fighting,,6.4,49,iOS (iPhone)
Dragon Ball Z Budokai HD Collection,2012-06-11,Pyramid,Namco Bandai Games,Compilation,Rated T For Teen,8.3,44,Xbox 360
Dragon Ball Z for Kinect,2012-09-10,Spike Chunsoft,Namco Bandai Games,3D Fighting,Rated T For Teen,2.2,46,Xbox 360
Dragon Ball Z: Attack of the Saiyans,2009-10-11,Monolith Soft,Namco Bandai Games,JRPG,Rated E +10 For Everyone +10,8,42,DS
Dragon Ball Z: Battle of Z,1/28/2014,Artdink,Namco Bandai Games,3D Fighting,Rated T For Teen,5.4,122,PlayStation 3
Dragon Ball Z: Budokai,2002-03-12,Dimps Corporation,Infogrames,3D Fighting,Rated T For Teen,7.5,64,PlayStation 2
Dragon Ball Z: Budokai 2,2003-04-12,Dimps Corporation,Atari SA,3D Fighting,Rated T For Teen,7.8,63,PlayStation 2
Dragon Ball Z: Budokai 3,11/16/2004,Dimps Corporation,Atari SA,3D Fighting,Rated T For Teen,8.7,206,PlayStation 2
Dragon Ball Z: Budokai Tenkaichi,10/18/2005,Spike,Atari SA,3D Fighting,Rated T For Teen,7.7,58,PlayStation 2
Dragon Ball Z: Budokai Tenkaichi 2,11/15/2006,Spike,Atari SA,3D Fighting,Rated T For Teen,8.5,35,Wii
Dragon Ball Z: Budokai Tenkaichi 3,2007-03-12,Spike,Atari SA,3D Fighting,Rated T For Teen,8.8,104,PlayStation 2
Dragon Ball Z: Burst Limit,2008-10-06,Dimps Corporation,Atari SA,3D Fighting,Rated T For Teen,7.6,37,Xbox 360
Dragon Ball Z: Buu's Fury,9/14/2004,Webfoot Technologies,Atari SA,Action RPG,Rated E For Everyone,8.2,48,Game Boy Advance
Dragon Ball Z: Extreme Butoden,10/20/2015,Arc System Works,Bandai Namco Games,2D Fighting,Rated T For Teen,6.8,47,3DS
Dragon Ball Z: Harukanaru Densetsu,2007-05-06,Bec,Atari SA,Card Battle,Rated E For Everyone,6.6,8,DS
Dragon Ball Z: Infinite World,2008-04-12,Dimps Corporation,Atari SA,3D Fighting,Rated T For Teen,7.8,69,PlayStation 2
Dragon Ball Z: Kakarot,1/17/2020,CyberConnect2,Bandai Namco Games,Action RPG,Rated T For Teen,8.1,998,PlayStation 4
Dragon Ball Z: Kakarot + A New Power Awakens Set,9/24/2021,CyberConnect2,Bandai Namco Games,Action RPG,Rated T For Teen,7.6,36,Nintendo Switch
Dragon Ball Z: Sagas,3/22/2005,Avalanche Software,Atari SA,3D Beat-'Em-Up,Rated T For Teen,5.8,54,Xbox
Dragon Ball Z: Shin Budokai,2006-07-03,Dimps Corporation,Atari SA,3D Fighting,Rated T For Teen,7.8,27,PSP
